department_id,short_name,name,university,country,url,openalex_institution_id,ror_id,acsp_member,active
100,University of Saskatchewan,University of Saskatchewan,University of Saskatchewan,CA,https://artsandscience.usask.ca/geography/undergraduates/regional-and-urban-planning.php,,,,1
101,University of South Florida,University of South Florida,University of South Florida,US,https://www.usf.edu/arts-sciences/departments/public-affairs/murp/,,,,1
102,University of Southern Maine,University of Southern Maine,University of Southern Maine,US,https://usm.maine.edu/policy-planning-management,,,,1
103,"University of Texas, Arlington","University of Texas, Arlington","University of Texas, Arlington",US,https://www.uta.edu/cappa/academics/planning-publicaffairs/index.php,,,,1
104,"University of Texas, Austin","University of Texas, Austin","University of Texas, Austin",US,http://soa.utexas.edu/programs/community-and-regional-planning,,,,1
105,"University of Texas, San Antonio","University of Texas, San Antonio","University of Texas, San Antonio",US,https://klesse.utsa.edu/architecture-planning/msurp.html,,,,1
106,University of Toledo,University of Toledo,University of Toledo,US,http://utoledo.edu/llss/geography/,,,,1
107,University of Toronto,University of Toronto,University of Toronto,CA,http://geography.utoronto.ca/graduate-planning/,,,,1
108,University of Utah,University of Utah,University of Utah,US,http://plan.cap.utah.edu/,,,,1
109,University of Virginia,University of Virginia,University of Virginia,US,http://arch.virginia.edu/urban-environmental-planning,,,,1
110,University of Washington,University of Washington,University of Washington,US,http://urbdp.be.washington.edu/,,,,1
111,"University of Waterloo, Ontario","University of Waterloo, Ontario","University of Waterloo, Ontario",CA,http://uwaterloo.ca/planning/,,,,1
112,"University of Wisconsin, Madison","University of Wisconsin, Madison","University of Wisconsin, Madison",US,https://dpla.wisc.edu,,,,1
113,"University of Wisconsin, Milwaukee","University of Wisconsin, Milwaukee","University of Wisconsin, Milwaukee",US,http://uwm.edu/sarup/program/planning/,,,,1
114,Virginia Commonwealth University,Virginia Commonwealth University,Virginia Commonwealth University,US,https://wilder.vcu.edu/programs/urban-and-regional-studies-planning/,,,,1
115,Virginia Tech,Virginia Tech,Virginia Tech,US,http://uap.vt.edu/,,,,1
116,Wayne State University,Wayne State University,Wayne State University,US,https://clas.wayne.edu/usp,,,,1
117,West Chester University,West Chester University,West Chester University,US,https://www.wcupa.edu/business-publicManagement/geographyPlanning/,,,,1
118,Western Washington University,Western Washington University,Western Washington University,US,https://huxley.wwu.edu/urban-planning-and-sustainable-development-program,,,,1
119,Westfield State University,Westfield State University,Westfield State University,US,http://westfield.ma.edu/academics/geography-and-regional-planning-department,,,,1
120,York University,York University,York University,CA,http://urst.sosc.laps.yorku.ca/,,,,1
