person_id,source,collected_at,total_citations,h_index,i10_index,citations_5yr,h_index_5yr,works_count,raw_json
89,pop,2026-09-13,708,13,,,,,"{""workbook_row"": {""Name"": ""Patricia Manuel"", ""Year"": 1992, ""Cites2017"": 708, ""%Cites2017"": 0.427, ""%Rank"": 0.215, ""H-Index"": 13, ""%RankH"": 0.45, ""CurrentSchool"": ""Dalhousie University"", ""Position"": ""Professor"", ""PhDYear"": 1992, ""PhDSchool"": ""Dalhousie University"", ""Years"": 33, ""CY2017"": 21.454545454545453, ""First"": ""Patricia"", ""Last"": ""Manuel""}}"
94,pop,2026-09-13,78,2,,,,,"{""workbook_row"": {""Name"": ""Andrew Jacobs"", ""Year"": 1999, ""Cites2017"": 78, ""%Cites2017"": 0.096, ""%Rank"": 0.024, ""H-Index"": 2, ""%RankH"": 0.024, ""CurrentSchool"": ""East Carolina University"", ""Position"": ""Professor"", ""PhDYear"": 1999, ""PhDSchool"": ""Michigan State University"", ""Years"": 26, ""CY2017"": 3, ""First"": ""Andrew"", ""Last"": ""Jacobs""}}"
97,pop,2026-09-13,29,2,,,,,"{""workbook_row"": {""Name"": ""Heather Khan-Welsh"", ""Year"": 2008, ""Cites2017"": 29, ""%Cites2017"": 0.053, ""%Rank"": 0.012, ""H-Index"": 2, ""%RankH"": 0.024, ""CurrentSchool"": ""Eastern Michigan University"", ""Position"": ""Professor"", ""PhDYear"": 2008, ""PhDSchool"": ""Florida State University"", ""Years"": 17, ""CY2017"": 1.7058823529411764, ""First"": ""Heather"", ""Last"": ""Khan-Welsh""}}"
98,pop,2026-09-13,7,2,,,,,"{""workbook_row"": {""Name"": ""RJ Koscielniak"", ""Year"": 2020, ""Cites2017"": 7, ""%Cites2017"": 0.018, ""%Rank"": 0.021, ""H-Index"": 2, ""%RankH"": 0.024, ""CurrentSchool"": ""Eastern Michigan University"", ""Position"": ""Associate Professor"", ""PhDYear"": 2020, ""PhDSchool"": ""University of Michigan"", ""Years"": 5, ""CY2017"": 1.4, ""First"": ""RJ"", ""Last"": ""Koscielniak""}}"
100,pop,2026-09-13,90,5,,,,,"{""workbook_row"": {""Name"": ""Margo Hill"", ""Year"": 1998, ""Cites2017"": 90, ""%Cites2017"": 0.106, ""%Rank"": 0.032, ""H-Index"": 5, ""%RankH"": 0.129, ""CurrentSchool"": ""Eastern Washington"", ""Position"": ""Professor"", ""PhDYear"": 1998, ""PhDSchool"": ""Gonzaga University"", ""Years"": 27, ""CY2017"": 3.3333333333333335, ""First"": ""Margo"", ""Last"": ""Hill"", ""Interests"": ""Tribal Law, Tribal Planning and Management, Planning Law, Tribal Economic Development."", ""LinkedIn"": ""https://linkedin.com/in/margo-hill-6880bb48""}}"
101,pop,2026-09-13,331,9,,,,,"{""workbook_row"": {""Name"": ""Jason Scully"", ""Year"": 2015, ""Cites2017"": 331, ""%Cites2017"": 0.271, ""%Rank"": 0.236, ""H-Index"": 9, ""%RankH"": 0.292, ""CurrentSchool"": ""Eastern Washington"", ""Position"": ""Associate Professor"", ""PhDYear"": 2015, ""PhDSchool"": ""University of Washington"", ""Years"": 10, ""CY2017"": 33.1, ""First"": ""Jason"", ""Last"": ""Scully""}}"
110,pop,2026-09-13,24,4,,,,,"{""workbook_row"": {""Name"": ""Aurora Echavarria Canales"", ""Year"": 2025, ""Cites2017"": 24, ""%Cites2017"": 0.045, ""%Rank"": 0.103, ""H-Index"": 4, ""%RankH"": 0.09, ""CurrentSchool"": ""Florida State University"", ""Position"": ""Assistant Professor"", ""PhDYear"": 2025, ""PhDSchool"": ""UCLA"", ""Years"": 0, ""First"": ""Aurora"", ""Last"": ""Canales""}}"
114,pop,2026-09-13,897,12,,,,,"{""workbook_row"": {""Name"": ""Tisha Holmes"", ""Year"": 2015, ""Cites2017"": 897, ""%Cites2017"": 0.482, ""%Rank"": 0.51, ""H-Index"": 12, ""%RankH"": 0.409, ""CurrentSchool"": ""Florida State University"", ""Position"": ""Associate Professor"", ""PhDYear"": 2015, ""PhDSchool"": ""UCLA"", ""Years"": 10, ""CY2017"": 89.7, ""First"": ""Tisha"", ""Last"": ""Holmes""}}"
117,pop,2026-09-13,377,11,,,,,"{""workbook_row"": {""Name"": ""Mehak Sachdeva"", ""Year"": 2022, ""Cites2017"": 377, ""%Cites2017"": 0.293, ""%Rank"": 0.56, ""H-Index"": 11, ""%RankH"": 0.374, ""CurrentSchool"": ""Florida State University"", ""Position"": ""Assistant Professor"", ""PhDYear"": 2022, ""PhDSchool"": ""Arizona State University"", ""Years"": 3, ""CY2017"": 125.66666666666667, ""First"": ""Mehak"", ""Last"": ""Sachdeva""}}"
119,pop,2026-09-13,55,5,,,,,"{""workbook_row"": {""Name"": ""Uwe Brandes"", ""Year"": 1995, ""Cites2017"": 55, ""%Cites2017"": 0.074, ""%Rank"": 0.076, ""H-Index"": 5, ""%RankH"": 0.129, ""CurrentSchool"": ""Georgetown University"", ""Position"": ""Associate Professor"", ""PhDYear"": 1995, ""PhDSchool"": ""Harvard University"", ""Years"": 30, ""CY2017"": 1.8333333333333333, ""First"": ""Uwe"", ""Last"": ""Brandes""}}"
