person_id,source,collected_at,total_citations,h_index,i10_index,citations_5yr,h_index_5yr,works_count,raw_json
25,google_scholar,2026-03-01,6151,41,,,,,"{""workbook_row"": {""Name"": ""Elizabeth Wentz"", ""Year"": 1997, ""Cites2017"": 6151, ""%Cites2017"": 0.91, ""%Rank"": 0.794, ""H-Index"": 41, ""%RankH"": 0.938, ""GoogleScholar"": ""https://scholar.google.com/citations?user=pdxbJg0AAAAJ&hl=en&oi=ao&inst=13410158990364976897"", ""CurrentSchool"": ""Arizona State University"", ""Position"": ""Professor"", ""PhDYear"": 1997, ""PhDSchool"": ""Pennsylvania State University"", ""Years"": 28, ""First"": ""Elizabeth"", ""Last"": ""Wentz""}}"
26,google_scholar,2026-03-01,270,9,,,,,"{""workbook_row"": {""Name"": ""Sweta Byahut"", ""Year"": 2012, ""Cites2017"": 270, ""%Cites2017"": 0.239, ""%Rank"": 0.2, ""H-Index"": 9, ""%RankH"": 0.292, ""GoogleScholar"": ""https://scholar.google.com/citations?user=kpbXtqsAAAAJ&hl=en"", ""CurrentSchool"": ""Auburn University"", ""Position"": ""Associate Professor"", ""PhDYear"": 2012, ""PhDSchool"": ""University of Cincinnati"", ""Years"": 13, ""First"": ""Sweta"", ""Last"": ""Byahut"", ""Interests"": ""Land management, development regulation, disaster mitigation, planning in Indian cities""}}"
27,google_scholar,2026-03-01,339,8,,,,,"{""workbook_row"": {""Name"": ""Megan LaFrombois"", ""Year"": 2014, ""Cites2017"": 339, ""%Cites2017"": 0.277, ""%Rank"": 0.241, ""H-Index"": 8, ""%RankH"": 0.261, ""GoogleScholar"": ""https://scholar.google.com/citations?hl=en&authuser=1&user=CM-d0S0AAAAJ"", ""CurrentSchool"": ""Auburn University"", ""Position"": ""Associate Professor"", ""PhDYear"": 2014, ""PhDSchool"": ""University of Illinois, Chicago"", ""Years"": 11, ""First"": ""Megan"", ""Middle"": ""E."", ""Last"": ""LaFrombois""}}"
28,google_scholar,2026-03-01,144,4,,,,,"{""workbook_row"": {""Name"": ""Binita Mahato"", ""Year"": 2018, ""Cites2017"": 144, ""%Cites2017"": 0.167, ""%Rank"": 0.14, ""H-Index"": 4, ""%RankH"": 0.09, ""GoogleScholar"": ""https://scholar.google.com/citations?hl=en&authuser=1&user=LOmY700AAAAJ&inst=13410158990364976897"", ""CurrentSchool"": ""Auburn University"", ""Position"": ""Associate Professor"", ""PhDYear"": 2018, ""PhDSchool"": ""University of Cincinnati"", ""Years"": 7, ""First"": ""Binita"", ""Last"": ""Mahato""}}"
29,google_scholar,2026-03-01,439,9,,,,,"{""workbook_row"": {""Name"": ""Jay Mittal"", ""Year"": 2011, ""Cites2017"": 439, ""%Cites2017"": 0.32, ""%Rank"": 0.291, ""H-Index"": 9, ""%RankH"": 0.292, ""GoogleScholar"": ""https://scholar.google.com.ph/citations?user=iS703cMAAAAJ&hl=en"", ""CurrentSchool"": ""Auburn University"", ""Position"": ""Associate Professor"", ""PhDYear"": 2011, ""PhDSchool"": ""University of Cincinnati"", ""Years"": 14, ""First"": ""Jay"", ""Last"": ""Mittal"", ""Interests"": ""GIS, Urban Economics, Real Estate Development"", ""ResearchGate"": ""https://researchgate.net/profile/Jay_Mittal2"", ""LinkedIn"": ""https://linkedin.com/in/jaymit""}}"
30,google_scholar,2026-03-01,770,12,,,,,"{""workbook_row"": {""Name"": ""Rebecca Retzlaff"", ""Year"": 2006, ""Cites2017"": 770, ""%Cites2017"": 0.454, ""%Rank"": 0.232, ""H-Index"": 12, ""%RankH"": 0.409, ""GoogleScholar"": ""https://scholar.google.com.ph/citations?user=oSoTwbYAAAAJ&hl=en"", ""CurrentSchool"": ""Auburn University"", ""Position"": ""Professor"", ""PhDYear"": 2006, ""PhDSchool"": ""University of Illinois, Chicago"", ""Years"": 19, ""First"": ""Rebecca"", ""Last"": ""Retzlaff"", ""Interests"": ""Environmental Planning and Policy, Historic Preservation, Land Use Planning and Regulation, Growth Management"", ""LinkedIn"": ""https://linkedin.com/in/rebecca-retzlaff-4529a6a""}}"
32,google_scholar,2026-03-01,6,1,,,,,"{""workbook_row"": {""Name"": ""Lohren Deeg"", ""Year"": 2004, ""Cites2017"": 6, ""%Cites2017"": 0.016, ""%Rank"": 0.016, ""H-Index"": 1, ""%RankH"": 0, ""GoogleScholar"": ""https://scholar.google.com/citations?hl=en&authuser=1&user=RFYdIqQAAAAJ"", ""CurrentSchool"": ""Ball State University"", ""Position"": ""Associate Professor"", ""PhDYear"": 2004, ""PhDSchool"": ""Ball State University"", ""Years"": 21, ""First"": ""Lohren"", ""Last"": ""Deeg"", ""Interests"": ""Urban and Town Design, Design Comm Media, Theory, History, Graphic layout"", ""ResearchGate"": ""https://researchgate.net/profile/Lohren_Deeg"", ""LinkedIn"": ""https://linkedin.com/in/lohren-deeg-30054b12""}}"
38,google_scholar,2026-03-01,197,7,,,,,"{""workbook_row"": {""Name"": ""Chris Giamarino"", ""Year"": 2023, ""Cites2017"": 197, ""%Cites2017"": 0.2, ""%Rank"": 0.407, ""H-Index"": 7, ""%RankH"": 0.218, ""GoogleScholar"": ""https://scholar.google.com/citations?hl=en&user=JFjdQ94AAAAJ"", ""CurrentSchool"": ""Cal Poly, Pomona"", ""Position"": ""Assistant Professor"", ""PhDYear"": 2023, ""PhDSchool"": ""UCLA"", ""Years"": 2, ""First"": ""Chris"", ""Last"": ""Giamarino""}}"
39,google_scholar,2026-03-01,100,6,,,,,"{""workbook_row"": {""Name"": ""Alvaro Huerta"", ""Year"": 2011, ""Cites2017"": 100, ""%Cites2017"": 0.12, ""%Rank"": 0.118, ""H-Index"": 6, ""%RankH"": 0.173, ""GoogleScholar"": ""https://scholar.google.com/citations?user=hZSH7SEAAAAJ&hl=en"", ""CurrentSchool"": ""Cal Poly, Pomona"", ""Position"": ""Associate Professor"", ""PhDYear"": 2011, ""PhDSchool"": ""UC Berkeley"", ""Years"": 14, ""First"": ""Alvaro"", ""Last"": ""Huerta"", ""Interests"": ""Community Development.""}}"
40,google_scholar,2026-03-01,550,13,,,,,"{""workbook_row"": {""Name"": ""Dohyung Kim"", ""Year"": 2005, ""Cites2017"": 550, ""%Cites2017"": 0.373, ""%Rank"": 0.178, ""H-Index"": 13, ""%RankH"": 0.45, ""GoogleScholar"": ""https://scholar.google.com/citations?user=s8hqUgMAAAAJ&hl=en&oe=ASCII"", ""CurrentSchool"": ""Cal Poly, Pomona"", ""Position"": ""Professor"", ""PhDYear"": 2005, ""PhDSchool"": ""University of Florida"", ""Years"": 20, ""First"": ""Dohyung"", ""Last"": ""Kim""}}"
